Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
2021-02-08,2021-02-12,martz,13.0,462.0
2021-02-08,2021-02-12,njtransit,2043.0,26683.0
2021-02-08,2021-02-12,peterpanbonanza,10.0,288.0
2021-02-08,2021-02-12,trailways,10.0,199.0
2021-02-08,2021-02-12,transbridge,12.0,324.0
2021-02-15,2021-02-19,academy,35.0,623.0
2021-02-15,2021-02-19,cjbuslines,0.0,0.0
2021-02-15,2021-02-19,coachusa,81.0,1461.0
2021-02-15,2021-02-19,decamp,0.0,0.0
2021-02-15,2021-02-19,greyhound,34.0,848.0
2021-02-15,2021-02-19,hceecommunity,73.0,885.0
2021-02-15,2021-02-19,lakeland,12.0,271.0
2021-02-15,2021-02-19,martz,13.0,446.0
2021-02-15,2021-02-19,njtransit,2281.0,27430.0
2021-02-15,2021-02-19,peterpanbonanza,9.0,300.0
2021-02-15,2021-02-19,trailways,9.0,222.0
2021-02-15,2021-02-19,transbridge,12.0,341.0
2021-02-22,2021-02-26,academy,32.0,577.0
2021-02-22,2021-02-26,cjbuslines,0.0,0.0
2021-02-22,2021-02-26,coachusa,83.0,1522.0
2021-02-22,2021-02-26,decamp,0.0,0.0
2021-02-22,2021-02-26,greyhound,33.0,831.0
2021-02-22,2021-02-26,hceecommunity,78.0,1117.0
2021-02-22,2021-02-26,lakeland,12.0,273.0
2021-02-22,2021-02-26,martz,13.0,455.0
2021-02-22,2021-02-26,njtransit,2077.0,27440.0
2021-02-22,2021-02-26,peterpanbonanza,9.0,240.0
2021-02-22,2021-02-26,trailways,10.0,225.0
2021-02-22,2021-02-26,transbridge,12.0,310.0
2021-03-01,2021-03-05,academy,32.0,0.0
2021-03-01,2021-03-05,cjbuslines,0.0,0.0
2021-03-01,2021-03-05,coachusa,83.0,0.0
2021-03-01,2021-03-05,decamp,0.0,0.0
2021-03-01,2021-03-05,greyhound,35.0,0.0
2021-03-01,2021-03-05,hceecommunity,71.0,0.0
2021-03-01,2021-03-05,lakeland,12.0,0.0
2021-03-01,2021-03-05,martz,13.0,0.0
2021-03-01,2021-03-05,njtransit,2095.0,0.0
2021-03-01,2021-03-05,peterpanbonanza,9.0,0.0
2021-03-01,2021-03-05,trailways,10.0,0.0
2021-03-01,2021-03-05,transbridge,12.0,0.0
2021-03-02,2021-03-05,academy,0.0,577.0
2021-03-02,2021-03-05,cjbuslines,0.0,0.0
2021-03-02,2021-03-05,coachusa,0.0,1621.0
2021-03-02,2021-03-05,decamp,0.0,0.0
2021-03-02,2021-03-05,greyhound,0.0,976.0
2021-03-02,2021-03-05,hceecommunity,0.0,1171.0
2021-03-02,2021-03-05,lakeland,0.0,291.0
2021-03-02,2021-03-05,martz,0.0,498.0
2021-03-02,2021-03-05,njtransit,0.0,29104.0
2021-03-02,2021-03-05,peterpanbonanza,0.0,247.0
2021-03-02,2021-03-05,trailways,0.0,232.0
2021-03-02,2021-03-05,transbridge,0.0,353.0
2021-03-08,2021-03-12,academy,36.0,728.0
2021-03-08,2021-03-12,cjbuslines,0.0,0.0
2021-03-08,2021-03-12,coachusa,83.0,1649.0
2021-03-08,2021-03-12,decamp,0.0,0.0
2021-03-08,2021-03-12,greyhound,35.0,976.0
2021-03-08,2021-03-12,hceecommunity,82.0,1212.0
2021-03-08,2021-03-12,lakeland,12.0,299.0
2021-03-08,2021-03-12,martz,14.0,474.0
2021-03-08,2021-03-12,njtransit,2089.0,28670.0
2021-03-08,2021-03-12,peterpanbonanza,10.0,281.0
2021-03-08,2021-03-12,trailways,11.0,264.0
2021-03-08,2021-03-12,transbridge,12.0,353.0
2021-03-15,2021-03-19,academy,36.0,728.0
2021-03-15,2021-03-19,cjbuslines,0.0,0.0
2021-03-15,2021-03-19,coachusa,84.0,1635.0
2021-03-15,2021-03-19,decamp,0.0,0.0
2021-03-15,2021-03-19,greyhound,36.0,1077.0
2021-03-15,2021-03-19,hceecommunity,87.0,1217.0
2021-03-15,2021-03-19,lakeland,12.0,292.0
2021-03-15,2021-03-19,martz,14.0,494.0
2021-03-15,2021-03-19,njtransit,2124.0,27807.0
2021-03-15,2021-03-19,peterpanbonanza,10.0,325.0
2021-03-15,2021-03-19,trailways,11.0,268.0
2021-03-15,2021-03-19,transbridge,12.0,358.0
2021-03-22,2021-03-26,academy,36.0,667.0
2021-03-22,2021-03-26,cjbuslines,0.0,0.0
2021-03-22,2021-03-26,coachusa,84.0,1666.0
2021-03-22,2021-03-26,decamp,0.0,0.0
2021-03-22,2021-03-26,greyhound,37.0,1142.0
2021-03-22,2021-03-26,hceecommunity,89.0,1240.0
2021-03-22,2021-03-26,lakeland,13.0,305.0
2021-03-22,2021-03-26,martz,14.0,505.0
2021-03-22,2021-03-26,njtransit,2031.0,27453.0
2021-03-22,2021-03-26,peterpanbonanza,12.0,389.0
2021-03-22,2021-03-26,trailways,11.0,268.0
