Start_Date,End_Date,Carrier_clean,Volume_Bus,Volume_Passenger
01/03/21,05/03/21,decamp,0,0
01/03/21,05/03/21,greyhound,35,0
01/03/21,05/03/21,hceecommunity,71,0
01/03/21,05/03/21,lakeland,12,0
01/03/21,05/03/21,martz,13,0
01/03/21,05/03/21,njtransit,2095,0
01/03/21,05/03/21,peterpanbonanza,9,0
01/03/21,05/03/21,trailways,10,0
01/03/21,05/03/21,transbridge,12,0
02/03/21,05/03/21,academy,0,577
02/03/21,05/03/21,cjbuslines,0,0
02/03/21,05/03/21,coachusa,0,1621
02/03/21,05/03/21,decamp,0,0
02/03/21,05/03/21,greyhound,0,976
02/03/21,05/03/21,hceecommunity,0,1171
02/03/21,05/03/21,lakeland,0,291
02/03/21,05/03/21,martz,0,498
02/03/21,05/03/21,njtransit,0,29104
02/03/21,05/03/21,peterpanbonanza,0,247
02/03/21,05/03/21,trailways,0,232
02/03/21,05/03/21,transbridge,0,353
08/03/21,12/03/21,academy,36,728
08/03/21,12/03/21,cjbuslines,0,0
08/03/21,12/03/21,coachusa,83,1649
08/03/21,12/03/21,decamp,0,0
08/03/21,12/03/21,greyhound,35,976
08/03/21,12/03/21,hceecommunity,82,1212
08/03/21,12/03/21,lakeland,12,299
08/03/21,12/03/21,martz,14,474
08/03/21,12/03/21,njtransit,2089,28670
08/03/21,12/03/21,peterpanbonanza,10,281
08/03/21,12/03/21,trailways,11,264
08/03/21,12/03/21,transbridge,12,353
15/03/21,19/03/21,academy,36,728
15/03/21,19/03/21,cjbuslines,0,0
15/03/21,19/03/21,coachusa,84,1635
15/03/21,19/03/21,decamp,0,0
15/03/21,19/03/21,greyhound,36,1077
15/03/21,19/03/21,hceecommunity,87,1217
15/03/21,19/03/21,lakeland,12,292
15/03/21,19/03/21,martz,14,494
15/03/21,19/03/21,njtransit,2124,27807
15/03/21,19/03/21,peterpanbonanza,10,325
15/03/21,19/03/21,trailways,11,268
15/03/21,19/03/21,transbridge,12,358
22/03/21,26/03/21,academy,36,667
22/03/21,26/03/21,cjbuslines,0,0
22/03/21,26/03/21,coachusa,84,1666
22/03/21,26/03/21,decamp,0,0
22/03/21,26/03/21,greyhound,37,1142
22/03/21,26/03/21,hceecommunity,89,1240
22/03/21,26/03/21,lakeland,13,305
22/03/21,26/03/21,martz,14,505
22/03/21,26/03/21,njtransit,2031,27453
22/03/21,26/03/21,peterpanbonanza,12,389
