Start_Date	End_Date	Carrier	Volume
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	DeCamp	0
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	HCEE - Community	1123
2021-01-18 00:00:00.000	2021-01-22 00:00:00.000	C&J Bus Lines	0
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Academy	569
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Greyhound	881
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Martz	434
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	NJTransit	26578
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Lakeland	272
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Trailways	203
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Coach USA	1597
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	TransBridge	315
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	Peter Pan_Bonanza	227
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	DeCamp	0
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	HCEE - Community	1123
2021-01-25 00:00:00.000	2021-01-29 00:00:00.000	C&J Bus Lines	0
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Academy	569
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Greyhound	996
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Martz	444
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	NJTransit	25001
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Lakeland	272
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Trailways	221
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Coach USA	1533
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	TransBridge	316
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	Peter Pan_Bonanza	250
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	DeCamp	0
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	HCEE - Community	1123
2021-02-01 00:00:00.000	2021-02-05 00:00:00.000	C&J Bus Lines	0
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Academy	582
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Greyhound	869
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Martz	462
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	NJTransit	26683
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Lakeland	271
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Trailways	199
2021-04-12 00:00:00.000	2021-04-16 00:00:00.000	C&J Bus Lines	0
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Academy	710
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Greyhound	1255
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Martz	504
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	NJTransit	31549
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Lakeland	313
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Trailways	328
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Coach USA	1714
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	TransBridge	365
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	Peter Pan_Bonanza	478
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	DeCamp	0
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	HCEE - Community	1275
2021-04-19 00:00:00.000	2021-04-23 00:00:00.000	C&J Bus Lines	0
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Academy	710
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Greyhound	1146
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Martz	502
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	NJTransit	32474
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Lakeland	322
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Trailways	324
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Coach USA	1793
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	TransBridge	369
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	Peter Pan_Bonanza	456
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	DeCamp	0
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	HCEE - Community	1210
2021-04-26 00:00:00.000	2021-04-30 00:00:00.000	C&J Bus Lines	0
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Academy	689
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Greyhound	1161
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Martz	518
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	NJTransit	31768
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Lakeland	331
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Trailways	353
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Coach USA	1846
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	TransBridge	373
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	Peter Pan_Bonanza	504
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	DeCamp	0
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	HCEE - Community	1069
2021-05-03 00:00:00.000	2021-05-07 00:00:00.000	C&J Bus Lines	0
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Academy	689
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Greyhound	1228
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Martz	528
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	NJTransit	32304
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Lakeland	350
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Trailways	383
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Coach USA	1906
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	TransBridge	386
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	Peter Pan_Bonanza	632
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	DeCamp	0
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	HCEE - Community	1369
2021-05-10 00:00:00.000	2021-05-14 00:00:00.000	C&J Bus Lines	0
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Academy	699
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Greyhound	1277
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Martz	541
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	NJTransit	33781
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Lakeland	374
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Trailways	405
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Coach USA	1929
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	TransBridge	399
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	Peter Pan_Bonanza	740
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	DeCamp	0
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	HCEE - Community	1322
2021-05-17 00:00:00.000	2021-05-21 00:00:00.000	C&J Bus Lines	0
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Academy	699
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Greyhound	1492
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Martz	570
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	NJTransit	34615
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Lakeland	395
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Trailways	409
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Coach USA	2003
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	TransBridge	426
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	Peter Pan_Bonanza	619
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	DeCamp	0
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	HCEE - Community	1322
2021-05-24 00:00:00.000	2021-05-28 00:00:00.000	C&J Bus Lines	0
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Academy	763
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Greyhound	1494
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Martz	573
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	NJTransit	35698
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Lakeland	403
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Trailways	398
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Coach USA	2076
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	TransBridge	421
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	Peter Pan_Bonanza	785
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	DeCamp	0
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	HCEE - Community	1322
2021-05-31 00:00:00.000	2021-06-04 00:00:00.000	C&J Bus Lines	0
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Academy	763
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Greyhound	1384
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Martz	610
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	NJTransit	35636
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Lakeland	445
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Trailways	363
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Coach USA	2172
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	TransBridge	409
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	Peter Pan_Bonanza	570
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	DeCamp	0
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	HCEE - Community	1446
2021-06-07 00:00:00.000	2021-06-11 00:00:00.000	C&J Bus Lines	0
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Academy	792
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Greyhound	1477
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Martz	613
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	NJTransit	39437
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Lakeland	480
2021-06-14 00:00:00.000	2021-06-18 00:00:00.000	Trailways	426
