Start_Date	End_Date	Carrier	Volume
05/07/2021	09/07/2021	HCEE - Community	93
05/07/2021	09/07/2021	Lakeland	20
05/07/2021	09/07/2021	Martz	18
05/07/2021	09/07/2021	NJ Transit	2126
05/07/2021	09/07/2021	Peter Pan_Bonanza	34
05/07/2021	09/07/2021	Trailways	19
05/07/2021	09/07/2021	TransBridge	14
12/07/2021	16/07/2021	Academy	35
12/07/2021	16/07/2021	C & J Bus Lines	0
12/07/2021	16/07/2021	Coach USA	95
12/07/2021	16/07/2021	DeCamp	16
12/07/2021	16/07/2021	Greyhound	61
12/07/2021	16/07/2021	HCEE - Community	93
12/07/2021	16/07/2021	Lakeland	20
12/07/2021	16/07/2021	Martz	17
12/07/2021	16/07/2021	NJ Transit	2135
12/07/2021	16/07/2021	Peter Pan_Bonanza	34
12/07/2021	16/07/2021	Trailways	17
12/07/2021	16/07/2021	TransBridge	14
19/07/2021	23/07/2021	Academy	35
19/07/2021	23/07/2021	C & J Bus Lines	0
19/07/2021	23/07/2021	Coach USA	99
19/07/2021	23/07/2021	DeCamp	16
19/07/2021	23/07/2021	Greyhound	58
19/07/2021	23/07/2021	HCEE - Community	89
19/07/2021	23/07/2021	Lakeland	20
19/07/2021	23/07/2021	Martz	17
19/07/2021	23/07/2021	NJ Transit	2097
19/07/2021	23/07/2021	Peter Pan_Bonanza	25
19/07/2021	23/07/2021	Trailways	17
19/07/2021	23/07/2021	TransBridge	15
26/07/2021	30/07/2021	Academy	35
26/07/2021	30/07/2021	C & J Bus Lines	0
26/07/2021	30/07/2021	Coach USA	101
26/07/2021	30/07/2021	DeCamp	16
26/07/2021	30/07/2021	Greyhound	59
26/07/2021	30/07/2021	HCEE - Community	94
26/07/2021	30/07/2021	Lakeland	20
26/07/2021	30/07/2021	Martz	17
26/07/2021	30/07/2021	NJ Transit	2080
26/07/2021	30/07/2021	Peter Pan_Bonanza	25
26/07/2021	30/07/2021	Trailways	17
26/07/2021	30/07/2021	TransBridge	15
02/08/2021	06/08/2021	Academy	36
02/08/2021	06/08/2021	C & J Bus Lines	0
02/08/2021	06/08/2021	Coach USA	102
02/08/2021	06/08/2021	DeCamp	16
02/08/2021	06/08/2021	Greyhound	60
02/08/2021	06/08/2021	HCEE - Community	94
02/08/2021	06/08/2021	Lakeland	20
02/08/2021	06/08/2021	Martz	17
02/08/2021	06/08/2021	NJ Transit	2116
02/08/2021	06/08/2021	Peter Pan_Bonanza	25
02/08/2021	06/08/2021	Trailways	18
02/08/2021	06/08/2021	TransBridge	15
09/08/2021	13/08/2021	Academy	35
09/08/2021	13/08/2021	C & J Bus Lines	0
09/08/2021	13/08/2021	Coach USA	103
09/08/2021	13/08/2021	DeCamp	16
09/08/2021	13/08/2021	Greyhound	58
09/08/2021	13/08/2021	HCEE - Community	99
09/08/2021	13/08/2021	Lakeland	20
09/08/2021	13/08/2021	Martz	17
09/08/2021	13/08/2021	NJ Transit	2140
09/08/2021	13/08/2021	Peter Pan_Bonanza	25
09/08/2021	13/08/2021	Trailways	17
09/08/2021	13/08/2021	TransBridge	15
16/08/2021	20/08/2021	Academy	35
16/08/2021	20/08/2021	C & J Bus Lines	0
16/08/2021	20/08/2021	Coach USA	107
16/08/2021	20/08/2021	DeCamp	16
16/08/2021	20/08/2021	Greyhound	58
16/08/2021	20/08/2021	HCEE - Community	99
16/08/2021	20/08/2021	Lakeland	20
16/08/2021	20/08/2021	Martz	17
16/08/2021	20/08/2021	NJ Transit	2133
16/08/2021	20/08/2021	Peter Pan_Bonanza	31
16/08/2021	20/08/2021	Trailways	18
16/08/2021	20/08/2021	TransBridge	17
23/08/2021	27/08/2021	Academy	35
23/08/2021	27/08/2021	C & J Bus Lines	0
23/08/2021	27/08/2021	Coach USA	110
23/08/2021	27/08/2021	DeCamp	16
23/08/2021	27/08/2021	Greyhound	59
23/08/2021	27/08/2021	HCEE - Community	90
23/08/2021	27/08/2021	Lakeland	20
23/08/2021	27/08/2021	Martz	17
01/11/2021	05/11/2021	C & J Bus Lines	0
01/11/2021	05/11/2021	Coach USA	125
01/11/2021	05/11/2021	DeCamp	33
01/11/2021	05/11/2021	Greyhound	54
01/11/2021	05/11/2021	HCEE - Community	98
01/11/2021	05/11/2021	Lakeland	29
01/11/2021	05/11/2021	Martz	18
01/11/2021	05/11/2021	NJ Transit	2131
01/11/2021	05/11/2021	Peter Pan_Bonanza	29
01/11/2021	05/11/2021	Trailways	17
01/11/2021	05/11/2021	TransBridge	18
08/11/2021	12/11/2021	Academy	35
08/11/2021	12/11/2021	C & J Bus Lines	0
08/11/2021	12/11/2021	Coach USA	125
08/11/2021	12/11/2021	DeCamp	37
08/11/2021	12/11/2021	Greyhound	54
08/11/2021	12/11/2021	HCEE - Community	96
08/11/2021	12/11/2021	Lakeland	29
08/11/2021	12/11/2021	Martz	18
08/11/2021	12/11/2021	NJ Transit	2120
08/11/2021	12/11/2021	Peter Pan_Bonanza	29
08/11/2021	12/11/2021	Trailways	18
08/11/2021	12/11/2021	TransBridge	18
15/11/2021	19/11/2021	Academy	33
15/11/2021	19/11/2021	C & J Bus Lines	0
15/11/2021	19/11/2021	Coach USA	126
15/11/2021	19/11/2021	DeCamp	37
15/11/2021	19/11/2021	Greyhound	54
15/11/2021	19/11/2021	HCEE - Community	99
15/11/2021	19/11/2021	Lakeland	29
15/11/2021	19/11/2021	Martz	18
15/11/2021	19/11/2021	NJ Transit	2127
15/11/2021	19/11/2021	Peter Pan_Bonanza	29
15/11/2021	19/11/2021	Trailways	19
15/11/2021	19/11/2021	TransBridge	18
22/11/2021	26/11/2021	Academy	0
22/11/2021	26/11/2021	C & J Bus Lines	0
22/11/2021	26/11/2021	Coach USA	0
22/11/2021	26/11/2021	DeCamp	0
22/11/2021	26/11/2021	Greyhound	0
22/11/2021	26/11/2021	HCEE - Community	0
22/11/2021	26/11/2021	Lakeland	0
22/11/2021	26/11/2021	Martz	0
22/11/2021	26/11/2021	NJ Transit	0
22/11/2021	26/11/2021	Peter Pan_Bonanza	0
22/11/2021	26/11/2021	Trailways	0
22/11/2021	26/11/2021	TransBridge	0
29/11/2021	03/12/2021	Academy	36
29/11/2021	03/12/2021	C & J Bus Lines	0
29/11/2021	03/12/2021	Coach USA	129
29/11/2021	03/12/2021	DeCamp	37
29/11/2021	03/12/2021	Greyhound	55
29/11/2021	03/12/2021	HCEE - Community	92
29/11/2021	03/12/2021	Lakeland	29
29/11/2021	03/12/2021	Martz	18
29/11/2021	03/12/2021	NJ Transit	2155
29/11/2021	03/12/2021	Peter Pan_Bonanza	27
29/11/2021	03/12/2021	Trailways	21
29/11/2021	03/12/2021	TransBridge	18
06/12/2021	10/12/2021	Academy	35
